"Suchbegriff";"Typ";"Etappe";"Name";"Adresse";"Ort";"Bewertung";"Reviews";"Kategorie";"Preis";"Dauer";"Kinderwagen";"Mindestalter";"Info";"Beste Zeit";"Reservierung";"Website";"Lat";"Lng";"Hinweis"
"Melozhori: Spaziergänge & E-Bikes, R317, Stormsvlei, Stormsvlei 6730, Südafrika";"Aktivität";"4 | Melozhori & Route 62 (14.-16. Okt)";"Melozhori: Spaziergänge & E-Bikes";"R317, Stormsvlei";"Stormsvlei 6730";"";"";"Natur";"Spaziergänge gratis / E-Bike R850 pro Rad und Tag";"frei wählbar";"Teilweise - Schotterwege";"keines";"Das Reservat ist raubtierfrei, unbegleitete Spaziergänge sind erlaubt - dazu Vogelbeobachtung, Hängematte und ein Stargazing-Buch";"Früher Morgen oder später Nachmittag";"E-Bikes vorab";"https://www.melozhori.co.za/";"-34.03703";"20.08720";"Selbstfahren im Reservat ist NICHT erlaubt. Handy mitnehmen trotz schlechtem Empfang"
"Bontebok National Park (Selbstfahrer), N2, Swellendam, Swellendam 6740, Südafrika";"Aktivität";"4 | Melozhori & Route 62 (14.-16. Okt)";"Bontebok National Park (Selbstfahrer)";"N2, Swellendam";"Swellendam 6740";"4.3";"1019";"Tiere / Natur";"R206 Erw. / R80 Kind 2-11 (International) / unter 2 gratis";"1.5-2 Std Rundfahrt";"Irrelevant - Aktivität findet im Auto statt";"keines";"Die perfekte Kinder-Safari: man bleibt im klimatisierten eigenen Auto, sieht Bontebok, Zebra und Schildkröten aus der Nähe und kann bei Quengeln sofort umdrehen";"08:00-10:00 oder 15:30-17:30, Tore 07:00-19:00";"Nein";"https://www.sanparks.org/parks/bontebok";"-34.05934";"20.43076";"Nach dem Breede-Hochwasser im Mai 2026 waren Flusspfade und Decks weggespült - Status vorab prüfen: +27 28 514 2735"
"Marloth Nature Reserve - Koloniesbos, Zufahrt ab Swellendam, Parkplatz Koloniesbos, Swellendam 6740, Südafrika";"Aktivität";"4 | Melozhori & Route 62 (14.-16. Okt)";"Marloth Nature Reserve - Koloniesbos";"Zufahrt ab Swellendam, Parkplatz Koloniesbos";"Swellendam 6740";"4.4";"145";"Natur";"R55 Erw. / R35 Kind 4-17, nur Bargeld";"Waldschlaufe ca. 45 Min";"Nein - Wurzeln und Steine, feste Schuhe nötig";"keines";"Kurze, komplett beschattete Runde durch indigenen Wald mit Bach - man ist nie weit vom Auto weg";"09:00-11:00, Tor schliesst 16:00";"Nein";"https://www.capenature.co.za/reserves/marloth-nature-reserve";"-33.96560";"20.39200";"Paviane - Essen nie unbeaufsichtigt lassen. Nicht die Duiwelsbos-Volltour nehmen"
"Viljoensdrift Bootsfahrt Breede River, R317 am Breede River, Robertson 6705, Südafrika";"Aktivität";"4 | Melozhori & Route 62 (14.-16. Okt)";"Viljoensdrift Bootsfahrt Breede River";"R317 am Breede River";"Robertson 6705";"4.5";"558";"Natur / Wasser";"R120 Erw. / R50 Kind 3-12 / unter 3 gratis";"Bootsfahrt 50 Min";"Hof ja, Boot nein";"keines publiziert";"50 Minuten sind exakt die Aufmerksamkeitsspanne eines Kindes; ruhiges Flussboot, Enten und Reiher, danach Rasen zum Toben mit Deli-Essen";"Check-in 60 Min. vor Abfahrt! Vormittag 10:00";"ZWINGEND vorab online";"https://viljoensdrift.co.za/river/";"-33.87528";"20.00262";"Kein eigenes Picknick erlaubt. Google zeigte zwischenzeitlich 'temporarily closed' - vorher anrufen +27 23 615 1017"
"Drostdy Museum Swellendam, 18 Swellengrebel Street, Swellendam 6740, Südafrika";"Aktivität";"4 | Melozhori & Route 62 (14.-16. Okt)";"Drostdy Museum Swellendam";"18 Swellengrebel Street";"Swellendam 6740";"4.4";"476";"Regenwetter / Kultur";"Ein Ticket für alle drei Gebäude, Preis unbestätigt";"1-1.5 Std für die Kurzversion";"Teilweise - Garten und Hof eben, Innenräume mit Stufen";"keines";"Das Kinder-Highlight ist nicht das Mobiliar, sondern der ummauerte Rosengarten, die Wassermühle und der Handwerkshof mit alten Karren - schattig und umzäunt";"09:30-11:00";"Nein";"https://www.drostdymuseum.co.za/";"-34.0187";"20.4436";"Plan B bei Regen. Öffnungszeiten ändern sich ohne Vorankündigung - anrufen +27 28 514 1138"
"Four Cousins Robertson, 3 Kromhout Road, Route 62, Robertson 6705, Südafrika";"Aktivität";"4 | Melozhori & Route 62 (14.-16. Okt)";"Four Cousins Robertson";"3 Kromhout Road, Route 62";"Robertson 6705";"4.6";"3328";"Spielplatz / Essen";"Kein Eintritt";"1.5-2 Std";"Ja";"keines";"Der grösste Spielplatz der Region direkt neben der Terrasse, dazu eigenes Kindermenü";"Nach dem Mittagspause";"Wochenende dringend";"https://www.fourcousinsrestaurant.co.za/";"-33.8028";"19.8848";"55-65 Min. ab Melozhori über zwei Pässe - kurvig"
"Bartolomeu Dias Museum, 1 Market Street, Mossel Bay 6500, Südafrika";"Aktivität";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Bartolomeu Dias Museum";"1 Market Street";"Mossel Bay 6500";"4.3";"2143";"Regenwetter / Kultur";"widersprüchlich, ggf. gratis (unbestätigt)";"1-1.5 Std";"Ja - Komplex rollstuhlgängig";"keines";"Die lebensgrosse Karavelle im Trockendock und das Muschelmuseum sind auch für 2-5-Jährige begreifbar; ethnobotanischer Garten mit Meerblick, Schatten und Bänken";"Erster Stopp ca. 10:15-11:30";"Nein";"http://www.diasmuseum.co.za/";"-34.18036";"22.14229";"Umweg nur ca. 9 km / 12 Min. ab N2. Mo-Fr 09:00-16:45"
"Redberry Farm, Geelhoutboom Road (ab R404), Blanco, George 6530, Südafrika";"Aktivität";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Redberry Farm";"Geelhoutboom Road (ab R404), Blanco";"George 6530";"4.6";"9030";"Adventure / Familie";"Kein Eintritt, Bezahlung pro Aktivität";"gezielt 1-1.5 Std";"Ja auf dem Hofgelände";"keines für Zug, Erdbeerfeld und Kaninchen";"Erdbeerpflücken ganzjährig, Minieisenbahn, Kaninchen, Heckenlabyrinth und Gokarts - der stärkste Kinderstopp der Strecke";"09:00-10:30 oder 14:30-16:00";"Nein (unter 10 Pers.)";"https://www.redberryfarm.co.za/";"-33.95846";"22.38228";"Mo-Sa 09:00-16:00, SONNTAGS ZU. Umweg ca. 10 km / 13 Min. Jeder Pflücker braucht einen eigenen Behälter"
"Timberlake Organic Village, N2 zwischen Wilderness und Sedgefield, Kleinkrantz, Wilderness 6560, Südafrika";"Aktivität";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Timberlake Organic Village";"N2 zwischen Wilderness und Sedgefield, Kleinkrantz";"Wilderness 6560";"4.4";"1411";"Spielplatz / Regenwetter";"Kein Eintritt";"45-60 Min";"Ja - zusammenhängendes Dorfgelände";"keines";"Der beste reine Zwischenstopp der Strecke: Spielplatz, Fairy Garden, schattige Sitzplätze, Bäckerei und mehrere Restaurants - direkt an der N2, kein Umweg";"Mittagsstopp 12:30-13:30";"Nein";"https://www.timberlakeorganic.co.za/";"-34.00097";"22.68529";"Naughty Monkey Cafe vor Ort (4.6, 507 Reviews), taeglich 08:15-16:30"
"Acrobranch Garden Route - Acro-twigs, Timberlake Organic Village, N2, Wilderness 6560, Südafrika";"Aktivität";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Acrobranch Garden Route - Acro-twigs";"Timberlake Organic Village, N2";"Wilderness 6560";"4.8";"196";"Adventure";"R130 p.P. für Acro-twigs";"45-60 Min";"Village ja, Parcours nein";"ab 4 Jahren (Acro-twigs, 4-8 J.) - passt genau";"Der einzige echte Abenteuerpunkt für euer Kind auf dieser Strecke: mit Gurt, Einweisung und eigenem Parcours für 4- bis 8-Jährige";"14:00-15:30";"Online, bargeldlos";"https://acrobranch.co.za/outdoor-activity-parks/garden-route/";"-34.00021";"22.68411";"Die anderen Kurse: ab 10 bzw. 11 Jahren und 1,40 m. Mi-So, Mo/Di zu"
"Garden Route Botanical Garden, 49 Caledon Street, Campher's Drift, George 6529, Südafrika";"Aktivität";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Garden Route Botanical Garden";"49 Caledon Street, Campher's Drift";"George 6529";"4.5";"988";"Natur";"R15 p.P.";"45-60 Min";"Eingeschränkt - Hauptwege ja";"keines";"16 ha mit Damm, Seerosen, Vogelversteck und Picknickwiese - der günstigste Beinvertreter-Stopp mit nur 3 km Umweg";"12:00-13:30 als Picknickstopp";"Nein";"https://botanicalgarden.org.za/";"-33.94789";"22.46369";"Taeglich 07:30-17:30"
"Knysna Elephant Park, N2 zwischen Knysna und Plettenberg Bay, Harkerville / Knysna 6600, Südafrika";"Aktivität";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Knysna Elephant Park";"N2 zwischen Knysna und Plettenberg Bay";"Harkerville / Knysna 6600";"4.6";"5062";"Tiere";"Nicht-SA R460 Erw. / R285 Kind 5-14 / unter 5 GRATIS, Futtereimer R50";"1 Std, Abfahrten alle 30 Min";"Überwiegend ja";"KEINES - Kinder jeden Alters";"Die perfekte Ankunfts-Belohnung 20 Min. vor eurer Lodge: Elefanten aus wenigen Metern, Füttern mit Obst statt Reiten, halbstündliche Starts";"Letzter Stopp ca. 14:30-16:00";"Empfohlen";"https://knysnaelephantpark.co.za/";"-34.03669";"23.27178";"365 Tage, 09:00-16:00. Direkt an der Route, kein Umweg"
"Birds of Eden, Portion 11 & 12, Kirbywood Farm, Animal Alley, The Crags 6602, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Birds of Eden";"Portion 11 & 12, Kirbywood Farm, Animal Alley";"The Crags 6602";"4.6";"2466";"Tiere / Regenwetter";"R440 Erw. / R220 Kind 3-12 / unter 3 GRATIS";"60-90 Min";"Ja - über 1 km durchgehende Holzstege";"keines";"Die 2,3-ha-Kuppel ist regensicher und windgeschützt - die einzige Aktivität, die bei jedem Wetter funktioniert, und Vögel fliegen auf Augenhöhe am Wege vorbei";"08:00-10:00, nicht nach 16:00 ankommen";"Nein";"https://www.birdsofeden.co.za/";"-33.96443";"23.48378";"Kombiticket mit Monkeyland R704/R352, alle drei R900/R450"
"Monkeyland, 11 Askop Road, Animal Alley, The Crags 6602, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Monkeyland";"11 Askop Road, Animal Alley";"The Crags 6602";"4.5";"2072";"Tiere";"R440 Erw. / R220 Kind 3-12 / unter 3 GRATIS";"geführte Safari 45-60 Min";"NEIN - Waldpfad und 128-m-Hängebrücke, Trage nötig";"keines, aber Gruppentempo";"Freilaufende Lemuren und Gibbons in Kopfhöhe begeistern schon 2-Jährige; die Tour ist kurz genug";"Erste Tour 08:00-09:00";"Empfohlen, feste Zeiten";"https://www.monkeyland.co.za/";"-33.96593";"23.48175";"Taschen nicht öffnen - Affen greifen zu"
"Jukani Wildlife Sanctuary, N2, The Crags, The Crags 6602, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Jukani Wildlife Sanctuary";"N2, The Crags";"The Crags 6602";"4.3";"759";"Tiere";"R440 Erw. / R220 Kind 3-12 / unter 3 GRATIS";"60-90 Min";"Ja - als rollstuhlgängig ausgewiesen";"keines";"Löwen, Tiger und Leoparden hinter Zaun statt in weiter Ferne - und die Wege sind so gut befestigt, dass auch müde Beine gut durchhalten";"Später Nachmittag (Katzen aktiver) oder 08:30";"Nein";"https://www.jukani.co.za/";"-33.97820";"23.43623";"Abfahrten alle 20 Min., letzte Tour 15:45"
"Tenikwa - Wild Cat Experience, Forest Hall Road / Aandblom Street, The Crags 6602, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Tenikwa - Wild Cat Experience";"Forest Hall Road / Aandblom Street";"The Crags 6602";"4.8";"2091";"Tiere / Natur";"R275 Erw. / R160 Kind 4-12 / 0-3 Jahre GRATIS";"1 Std, Abfahrten alle 30 Min";"Ja auf den Wegen - im Gehege muss das Kind getragen werden";"keines - mit 4 auch die Forest-&-Fur-Tour möglich";"Kleine Gruppen, nur eine Stunde, echte Rehabilitationsarbeit - Servale, Karakale und Geparden aus wenigen Metern. Ruhiger als die Nachbarn";"09:00 erste Tour";"Empfohlen";"https://tenikwa.com/the-wild-cat-experience-2/";"-33.96471";"23.49099";"Wild Cat Experience (1 Std.) ist die einfachste Wahl. 'Forest & Fur' (2 Std. Waldweg) ist ab 4 erlaubt, aber kein flacher Spazierweg. 'Cats in Conservation' erst ab 9"
"Lawnwood Snake Sanctuary, N2, The Crags, The Crags 6602, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Lawnwood Snake Sanctuary";"N2, The Crags";"The Crags 6602";"4.8";"519";"Tiere / Regenwetter";"ab ca. R300 (Kinderpreis unbestätigt)";"1 Std Tour, mit Spielplatz 2 Std";"Ja - flach und stufenlos";"keines";"Der unterschätzte Volltreffer: neben Schlangen gibt es Farmtiere, einen Spielplatz, Picknickwiese und einen Waldweg zum Fluss - falls die Reptilien nach 10 Minuten langweilig werden";"Vormittags 09:00-11:00";"Erst ab 15 Personen";"https://www.sa-venues.com/things-to-do/gardenroute/lawnwood-snake-sanctuary/";"-33.95999";"23.47386";"Beschatteter Parkplatz, Coffee Shop"
"Raptor Rescue Plett, The Heath, N2 Harkerville, Plettenberg Bay 6600, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Raptor Rescue Plett";"The Heath, N2 Harkerville";"Plettenberg Bay 6600";"4.9";"53";"Tiere";"R190 Erw. / R120 Kind 3-12";"Tour + Flugshow 1-1.5 Std";"Teilweise - unbestätigt";"keines";"Die Flugvorführung mit freifliegenden Greifvögeln ist ein 20-Minuten-Spektakel auf Kinderniveau, mit Spielplatz und Picknickbereich daneben";"Flugvorführung 12:00 oder 14:00";"Erforderlich";"https://raptorrescueplett.co.za/";"-34.0430";"23.2000";"MONTAGS GESCHLOSSEN - für Mo 19.10. nicht einplanen"
"Robberg Nature Reserve - Gap-Rundweg, Robberg Road, Plettenberg Bay 6600, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Robberg Nature Reserve - Gap-Rundweg";"Robberg Road";"Plettenberg Bay 6600";"4.8";"2677";"Natur";"R75 Erw. / R55 Kind 4-17";"2,1 km, mit Kind 60-75 Min";"NEIN - Holztreppen, Fels- und Sandpfad. Feste Schuhe nötig";"keines, aber Trittsicherheit der Eltern nötig";"Der kürzeste der drei Rundwege bietet trotzdem Robbenkolonie, Wale in Küstennähe und dramatische Klippenblicke - in unter 90 Minuten";"07:00-09:00: kühl, windstill, Wale nah";"Nein";"https://www.capenature.co.za/reserves/robberg-nature-reserve";"-34.10425";"23.39210";"Kein Schatten, ungesicherte Klippenkanten. Die längeren Rundwege (5,5 und 9,2 km) sind nichts für Kinder"
"Central Beach Plettenberg Bay, Hopwood Street / Beacon Isle, Plettenberg Bay 6600, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Central Beach Plettenberg Bay";"Hopwood Street / Beacon Isle";"Plettenberg Bay 6600";"4.5";"271";"Strand / Wasser";"GRATIS";"1-2 Std";"Bis zur Strandkante ja";"keines";"Der geschützteste Badeplatz in Plett: die Bucht liegt im Windschatten der Beacon-Isle-Landzunge, Wellen deutlich kleiner, NSRI-Rettungsstation direkt am Strand";"08:00-11:00, nachmittags Wind";"Nein";"https://www.plett-tourism.co.za/about/beaches/";"-34.05797";"23.37832";"Blue-Flag-Saison startet erst 1. Dezember - Mitte Oktober keine bzw. nur Wochenend-Lifeguards. Wasser 16-18 Grad"
"Keurbooms River Ferry, Keurbooms River, N2, Keurbooms River Nature Reserve, Keurboomstrand 6600, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Keurbooms River Ferry";"Keurbooms River, N2, Keurbooms River Nature Reserve";"Keurboomstrand 6600";"5.0";"1";"Natur / Wasser";"R675 Erw. / R505 Kind 2-12";"2-2.5 Std - am oberen Limit";"Bis zum Steg ja";"keines angegeben";"Ruhiges Flusswasser statt Brandung - kein Seegang. Der Halt an einem Flussstrand zum Buddeln bricht die Fahrt genau richtig";"Vormittagsfahrt, Abfahrten richten sich nach der Tide";"ZWINGEND, 069 733 0410";"https://keurboomsriverferries.co.za/";"-34.00182";"23.40231";"Nur 1 Bewertung (Betreiberwechsel 2024). Toiletten an Bord unbestätigt - bei 2,5 Std. mit Kind vorher klären. Selbstverpflegung nötig"
"Knysna Heads - East Head Viewpoint, Ende George Rex Drive, The Heads, Knysna 6571, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Knysna Heads - East Head Viewpoint";"Ende George Rex Drive, The Heads";"Knysna 6571";"4.6";"2613";"Natur";"GRATIS";"20-45 Min";"Ja am Hauptaussichtsdeck";"keines";"Maximaler Wow-Effekt für minimalen Aufwand: ihr parkt praktisch am Aussichtspunkt, seht Schiffe durch die Felsenpassage und im Oktober oft Wale";"Nach dem Mittagspause";"Nein";"https://www.visitknysna.co.za/";"-34.07655";"23.05990";"Ungesicherte Felskanten - Kinder an der Hand. 50-58 Min. ab Emily Moon"
"Old Nick Village, Old Nick Village, N2, Plettenberg Bay 6600, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Old Nick Village";"Old Nick Village, N2";"Plettenberg Bay 6600";"4.0";"124";"Spielplatz / Regenwetter";"GRATIS";"1-1.5 Std";"Ja";"keines";"Naturspielplatz mit Tunneln, Rutschen und Holzbalken, dazu Gärten, Café und Weberei - nur 3 km von eurer Lodge";"Taeglich 09:00-17:00, Mittwochsmarkt 09:00-14:00";"Nein";"https://oldnickvillage.co.za/";"-34.03495";"23.37301";"Knapp unter 4.2, aber die beste Schlechtwetter-Reserve mit kurzem Anfahrtsweg"
"KidZone Indoor Play Centre, Forest Gate, Plettenberg Bay, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"KidZone Indoor Play Centre";"Forest Gate";"Plettenberg Bay";"";"";"Regenwetter / Spielplatz";"unbestätigt";"1-2 Std";"Ja";"Angebote für kleinere und grössere Kinder";"Vollständig überdachter Indoor-Spielbereich mit Klettergerüsten, Rutschen und Softplay; Restaurant direkt daneben";"Regentag";"Nein";"https://forestgate.co.za/kidzone-indoor-play-centre/";"-34.0510";"23.3560";"Tipp aus eurem Schlechtwetter-PDF - Bewertung nicht geprüft"
"Storms River Suspension Bridge, Storms River Mouth Rest Camp, Tsitsikamma, Storms River, Eastern Cape, Südafrika";"Aktivität";"6 | Plettenberg Bay (16.-20. Okt)";"Storms River Suspension Bridge";"Storms River Mouth Rest Camp, Tsitsikamma";"Storms River, Eastern Cape";"4.4";"1093";"Natur / Adventure";"International R367 Erw. / Kind 2-11 halber Preis / unter 2 gratis";"Hin und zurück ca. 1 Std";"DEFINITIV NEIN - ca. 200 zum Teil steile Stufen. Feste Schuhe nötig";"keines, aber Tragen zwingend";"Der Steg über die Flussschlucht ist das spektakulärste Naturerlebnis der Region";"Vor 10:00";"Nein";"https://www.sanparks.org/parks/garden-route";"-34.02212";"23.88591";"130 km hin und zurück - der schwächste Zeit-Nutzen-Faktor der Etappe. Status 2026 prüfen: evtl. nur eine der drei Brücken offen"
"Addo Elephant NP - Selbstfahrer-Safari, Main Gate, R335, Addo 6105, Südafrika";"Aktivität";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Addo Elephant NP - Selbstfahrer-Safari";"Main Gate, R335";"Addo 6105";"4.5";"3095";"Tiere / Natur";"International R492 Erw. / R246 Kind 2-11 / unter 2 GRATIS";"frei wählbar, für Kinder 1.5-2 Std Schleife";"Irrelevant - Aktivität im eigenen Auto";"KEINES für Selbstfahrer";"Im eigenen Auto: Klimaanlage, Snacks, Windelwechsel und ein schlafendes Kind sind kein Problem. Elefanten stehen oft direkt an der Strasse";"06:45 am Tor (Öffnung 07:00) bis 09:30, oder 15:30-18:00";"Nein";"https://www.sanparks.org/parks/addo-elephant";"-33.44394";"25.74622";"AUSWEIS MITBRINGEN - Pass oder Führerschein ist Pflicht. Nur 18-22 Min. von Woodall"
"Addo Main Camp - Wasserloch & Underground Hide, Addo Rest Camp, R335, Addo 6105, Südafrika";"Aktivität";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Addo Main Camp - Wasserloch & Underground Hide";"Addo Rest Camp, R335";"Addo 6105";"4.5";"3095";"Tiere / Regenwetter";"im Eintritt enthalten";"45-90 Min";"Ja - Camp-Wege befestigt, Hide über Rampe";"keines";"Tiere kommen zu euch, statt dass ihr sie sucht. Der Underground Hide bringt Elefanten auf Augenhöhe wenige Meter vor die Nase";"Später Nachmittag 16:00-18:00";"Nein";"https://www.sanparks.org/parks/addo-elephant/camps/addo";"-33.44394";"25.74622";"Wasserloch ist flutlichtbeleuchtet. Restaurant, Pool, Shop, Picknickplätze vorhanden"
"Daniell Cheetah Project, R75, Kirkwood 6120, Südafrika";"Aktivität";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Daniell Cheetah Project";"R75";"Kirkwood 6120";"4.3";"269";"Tiere";"ca. R100-R130 p.P. (unbestätigt)";"Predator Tour genau 1 Std";"Teilweise - Farmuntergrund";"keines für die Predator Tour; Cheetah Walk ab 14";"Zusätzlich zu Geparden und Löwen gibt es einen Streichelbereich mit Kaninchen und Meerschweinchen sowie handaufgezogene Kudus - das funktioniert bei 2-5-Jährigen besser";"Tour 09:00 oder 10:00, Rückfahrt = Autoschlaf";"Nicht nötig";"https://daniellcheetahproject.com/tours/";"-33.4640";"25.3830";"Ca. 45 Min. ab Woodall. Preis nirgends publiziert - anrufen +27 66 3857 098"
"Addo Wildlife Centre, R335 Main Road, Addo 6105, Südafrika";"Aktivität";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Addo Wildlife Centre";"R335 Main Road";"Addo 6105";"4.6";"95";"Tiere / Regenwetter";"R20 pro Person";"45-60 Min";"Überwiegend ja";"keines";"Für R20 sehr kurze, sehr nahe Tierbegegnungen: Papageien, Geckos, Eulen, Äffchen und eine begehbare Voliere - der perfekte Füller zwischen Mittagspause und Abendessen";"16:00-17:00";"Nein";"https://addowildlife.co.za/wildlife-centre";"-33.5240";"25.6919";"Nur 5 Min. von Woodall. Restaurant Tangelo im selben Haus"
"Sundays River Adventures - Kurz-Bootsfahrt, A Taste of Africa Restaurant, N2, Colchester 6175, Südafrika";"Aktivität";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Sundays River Adventures - Kurz-Bootsfahrt";"A Taste of Africa Restaurant, N2";"Colchester 6175";"4.6";"76";"Natur / Wasser";"Preis unbestätigt, Mindestteilnehmer 2";"1.5 Std - die kürzeste Bootsoption der Region";"Nein - Boot";"MINDESTALTER 0";"Halb so lang wie die grosse Cruise, mit Restaurant und Spielmöglichkeit am Startpunkt - falls die Fahrt zu viel wird, ist der Ausstieg schnell erreicht";"Vormittags, 45 Min. vor Start eintreffen";"Ja, +27 41 492 2355";"https://sundaze.activitar.com";"-33.7000";"25.8300";"Die kleinkindtauglichere Alternative zur 2,5-Std.-Cruise"
"Addo Cruises & Sand Sledding, Cannonville, Colchester 6175, Südafrika";"Aktivität";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Addo Cruises & Sand Sledding";"Cannonville";"Colchester 6175";"4.9";"129";"Natur / Adventure / Wasser";"Scenic Cruise R760 Erw. / R380 Kind 5-12";"2.5 Std";"Nein - Boot";"kein offizielles; unter 5 nicht im Tarif - vorab klären";"Doppeldecker-Ponton mit Toilette an Bord, ruhiges Ästuarwasser, Fischadler und Affen - plus die goldenen Alexandria-Dünen als Riesenrutsche";"09:00-Abfahrt, zurück ca. 11:30";"ZWINGEND, min. 4 Erwachsene";"https://addocruises.co.za/";"-33.6900";"25.8200";"Bei Wind entfällt die Tour. Sandboarding: ein Rezensent fuhr mit seinem 4-Jährigen gemeinsam auf dem Board"
"Kragga Kamma Game Park, Kragga Kamma Road, Colleen Glen, Gqeberha 6018, Südafrika";"Aktivität";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Kragga Kamma Game Park";"Kragga Kamma Road, Colleen Glen";"Gqeberha 6018";"4.4";"765";"Tiere";"Selbstfahrer R140 Erw. / R70 Kind 3-17 / unter 3 GRATIS";"Selbstfahrt 1-1.5 Std";"Irrelevant - eigenes Auto";"KEINES beim Selbstfahren";"Nur 200 ha, das heisst garantierte Sichtungen von Nashorn, Giraffe, Zebra und Gepard in unter einer Stunde - kein frustrierendes Suchen";"Toröffnung 08:00 oder ab 15:30";"Selbstfahren ohne Buchung";"https://www.kraggakamma.co.za/";"-33.9720";"25.4530";"Taeglich ausser 25. Dezember - also auch am Abreise-Montag offen. GPS im Navi gegenprüfen"
"Lalibela Mark's Camp - Safari Drives, Lalibela Game Reserve, N2, Paterson 6130, Südafrika";"Aktivität";"8 | Lalibela & Gqeberha (23.-26. Okt)";"Lalibela Mark's Camp - Safari Drives";"Lalibela Game Reserve, N2";"Paterson 6130";"";"";"Tiere / Adventure";"im All-Inclusive enthalten";"Erwachsene 3-4 Std, Kinder-Drives deutlich kürzer";"Nein - offenes Fahrzeug";"ab 2 Jahren - mit 4 also dabei";"Familien mit ähnlich alten Kindern werden zusammen eingeteilt, damit das Tempo passt. Kinder-Drives fahren im eigenen Fahrzeug mit eigenem Ranger";"Morgen-Drive ca. 06:00, Nachmittag ca. 16:00 - der Mittagspause bleibt frei";"Im Paket, Kinderprogramm vorab anmelden";"https://lalibela.travel/lodges/marks-camp";"-33.3000";"26.0600";"Mit 4 Jahren fährt euer Kind mit. Kinderbetreuung während der Mahlzeiten der Erwachsenen ist im Preis enthalten"
"Lalibela Kinderprogramm (Tiny Trackers), Lalibela Game Reserve, N2, Paterson 6130, Südafrika";"Aktivität";"8 | Lalibela & Gqeberha (23.-26. Okt)";"Lalibela Kinderprogramm (Tiny Trackers)";"Lalibela Game Reserve, N2";"Paterson 6130";"";"";"Familie";"im All-Inclusive enthalten";"zwischen den Mahlzeiten und Drives";"Ja im Camp";"ab 2 Jahren";"Schnitzeljagden, Basteln, Steine bemalen, Vögel beobachten und Tierspuren bestimmen; bei gutem Wetter geführte Spaziergänge und Fussball. Eltern dürfen mitmachen oder ausruhen";"10:00-16:00, wenn auf Safari ohnehin nichts passiert";"Vorab anmelden";"https://lalibela.travel/lodges/marks-camp";"-33.3000";"26.0600";"Kinder unter 8 bekommen ein eigenes Kindermenü und essen früher. Camp ist diskret eingezäunt"
"SANCCOB Pinguin-Rehabilitation, Marine Drive, Cape Recife Nature Reserve, Summerstrand, Gqeberha 6011, Südafrika";"Aktivität";"8 | Lalibela & Gqeberha (23.-26. Okt)";"SANCCOB Pinguin-Rehabilitation";"Marine Drive, Cape Recife Nature Reserve";"Summerstrand, Gqeberha 6011";"4.5";"221";"Tiere / Regenwetter";"International R75 Erw. / R30 Kind unter 12";"Touren alle 30 Min, 30-45 Min";"Voraussichtlich ja (unbestätigt)";"keines";"Afrikanische Pinguine aus wenigen Metern, Fütterung im Home Pen um 09:30 und 14:30 - laut, lebendig und genau richtig kurz";"09:30 Fütterung - passt perfekt vor einen Nachmittagsflug";"Nicht zwingend";"https://sanccob.co.za/sanccob-tours";"-34.01320";"25.69069";"Nur ca. 15 Min. vom Flughafen. Montags-Öffnung unbestätigt - anrufen +27 41 583 1830"
